bdst_usg_nm,bdst_sn,pbnst_yn,mng_inst_clsf_nm,mub_yn,trgtobj_se_nm,trgtobj_clsf_nm,cty_frmvl_se_nm,reg_ymd,cltpty_yn,arson_mng_trgt_yn,subord_usg_dsctn,use_aprv_ymd,use_yn,conm_addr,cntr_nm,frstn_nm,frfgh_fclt_cpcst_cmcrt_ymd,frfgh_mfbiz_yn,new_mub_yn,isf_chck_trgt_yn,isf_chck_trgt_type_nm,tnl_se_nm,tnl_len,tnl_wd,tnl_hgt,spcs_5_ho_yn,spcs_6_ho_yn,grnds_sgg_nm,grnds_ctpv_nm,fire_insrnc_join_ymd,fire_insrnc_mtry_ymd,fire_insrnc_co_nm,_platelets_sample_downloaded_at,_platelets_source,_platelets_source_url,latitude,longitude,_platelets_coordinate_note
위험물저장및처리시설,26000000000062,,,,일반대상,일반대상물,도시,20090320,,,,19950104,Y,부산광역시 금정구 금사동,회동119안전센터,금정소방서,,,,,,,,,,,,금정구,부산광역시,,,,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=404,35.220020,129.110640,approximate:부산광역시 금정구 금사동
위험물저장및처리시설,26000000000074,,,,일반대상,일반대상물,도시,20090320,,,,,Y,부산광역시 금정구 부곡동,부곡119안전센터,금정소방서,19000101,,,,,,,,,,,금정구,부산광역시,,,,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=404,35.229200,129.092140,approximate:부산광역시 금정구 부곡동
근린생활시설,26000000000075,,,,일반대상,일반대상물,도시,20090320,,,,20110817,Y,부산광역시 금정구 장전동,부곡119안전센터,금정소방서,19000101,,,,,,,,,,,금정구,부산광역시,,,,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=404,35.238480,129.085040,approximate:부산광역시 금정구 장전동
위험물저장및처리시설,26000000000077,,,,일반대상,일반대상물,도시,20090320,,,,19931001,Y,부산광역시 금정구 남산동,남산119안전센터,금정소방서,,,,,,,,,,,,금정구,부산광역시,,,,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=404,35.265160,129.091440,approximate:부산광역시 금정구 남산동
위험물저장및처리시설,26000000000084,,,,일반대상,일반대상물,도시,20090323,,,,19941129,Y,부산광역시 금정구 구서동,남산119안전센터,금정소방서,19000101,,,,,,,,,,,금정구,부산광역시,,,,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=404,35.247540,129.090920,approximate:부산광역시 금정구 구서동
위험물저장및처리시설,26000000000089,,,,일반대상,일반대상물,도시,20090323,,,,19850912,Y,부산광역시 금정구 구서동,부곡119안전센터,금정소방서,19000101,,,,,,,,,,,금정구,부산광역시,,,,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=404,35.247820,129.090920,approximate:부산광역시 금정구 구서동
위험물저장및처리시설,26000000000094,,,,일반대상,일반대상물,도시,20090323,,,,19941020,Y,부산광역시 금정구 서동,서동119안전센터,금정소방서,19940715,,,,,,,,,,,금정구,부산광역시,,,,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=404,35.218100,129.103120,approximate:부산광역시 금정구 서동
위험물저장및처리시설,26000000000102,,,,일반대상,일반대상물,도시,20090323,,,,20110928,Y,부산광역시 금정구 남산동,남산119안전센터,금정소방서,19000101,,,,,,,,,,,금정구,부산광역시,,,,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=404,35.264880,129.091720,approximate:부산광역시 금정구 남산동
근린생활시설,26000000000109,,,,일반대상,일반대상물,도시,20090323,,,,19950114,Y,부산광역시 금정구 구서동,부곡119안전센터,금정소방서,19000101,,,,,,,,,,,금정구,부산광역시,,,,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=404,35.248660,129.090920,approximate:부산광역시 금정구 구서동
업무시설,26000000000128,,,,일반대상,일반대상물,도시,20090324,,,,20111024,Y,부산광역시 금정구 남산동,남산119안전센터,금정소방서,19000101,,,,,,,,,,,금정구,부산광역시,,,,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=404,35.264040,129.092000,approximate:부산광역시 금정구 남산동
