road_nm_addr,li_nm,pipe_calbr_vl,hnum_nm,use_yn,stts_se_nm,cntr_nm,frstn_nm,fruswtr_se_nm,damg_rgn_lot,damg_rgn_lat,wtrprsr_vl,nwod_se_nm,nghb_bldg_dstnc,sn,assrt_se_nm,dmltn_ymd,sgn_yn,grnds_sgg_nm,grnds_ctpv_nm,_platelets_sample_downloaded_at,_platelets_source,_platelets_source_url,latitude,longitude,_platelets_coordinate_note
부산광역시 중구 중앙대로 113 (대창동1가),,0,302-1,Y,사용가,연산119안전센터,동래소방서,저수조,,,0,,0,2600000004,공설,,Y,연제구,부산광역시,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=403,35.105420,129.035940,approximate:부산광역시 중구 중앙대로 113
부산광역시 중구 중앙대로 113 (대창동1가),,0,132-3,Y,사용가,사직119안전센터,동래소방서,저수조,,,0,,10,2600000006,공설,,,동래구,부산광역시,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=403,35.105700,129.035940,approximate:부산광역시 중구 중앙대로 113
부산광역시 중구 중앙대로 113 (대창동1가),,0,06월 01일,Y,사용가,감만119안전센터,남부소방서,저수조,,,0,,0,2600000007,공설,,Y,남구,부산광역시,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=403,35.105980,129.035940,approximate:부산광역시 중구 중앙대로 113
부산광역시 중구 중앙대로 113 (대창동1가),,100,580-8,Y,사용가,대연119안전센터,남부소방서,저수조,,,0,,0,2600000011,공설,,,남구,부산광역시,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=403,35.106260,129.035940,approximate:부산광역시 중구 중앙대로 113
부산광역시 중구 중앙대로 113 (대창동1가),,0,378-11,Y,사용가,연산119안전센터,동래소방서,저수조,,,0,,0,2600000014,공설,,Y,연제구,부산광역시,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=403,35.105140,129.036220,approximate:부산광역시 중구 중앙대로 113
부산광역시 중구 중앙대로 113 (대창동1가),,0,229-47,Y,사용가,수안119안전센터,동래소방서,저수조,,,0,,15,2600000015,공설,,Y,동래구,부산광역시,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=403,35.105420,129.036220,approximate:부산광역시 중구 중앙대로 113
부산광역시 중구 중앙대로 113 (대창동1가),,0,1170-2,Y,사용가,감만119안전센터,남부소방서,저수조,,,0,,0,2600000016,공설,,Y,남구,부산광역시,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=403,35.105700,129.036220,approximate:부산광역시 중구 중앙대로 113
부산광역시 중구 중앙대로 113 (대창동1가),,0,1413-6,Y,사용가,온천119안전센터,동래소방서,저수조,,,0,,0,2600000017,공설,,,동래구,부산광역시,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=403,35.105980,129.036220,approximate:부산광역시 중구 중앙대로 113
부산광역시 중구 중앙대로 113 (대창동1가),,0,175-16,Y,사용가,연산119안전센터,동래소방서,저수조,,,0,,0.1,2600000018,공설,,Y,동래구,부산광역시,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=403,35.106260,129.036220,approximate:부산광역시 중구 중앙대로 113
부산광역시 중구 중앙대로 113 (대창동1가),,0,148-10,Y,사용가,온천119안전센터,동래소방서,저수조,,,0,,0,2600000019,공설,,Y,동래구,부산광역시,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=403,35.105140,129.036500,approximate:부산광역시 중구 중앙대로 113
