seasn_nm,rscu_cmptn_mn,rscu_cmptn_tm,rscu_cmptn_hr,rscu_cmptn_yr,rscu_cmptn_mm,rscu_cmptn_day,rscu_cmptn_ymd,etc_ocrn_type_dtl_nm,cty_frmvl_se_nm,cbk_mn,cbk_tm,cbk_hr,cbk_yr,cbk_mm,cbk_day,cbk_ymd,qtr_no,acdnt_ocrn_plc_nm,acdnt_cs_nm,acdnt_cs_assrt_nm,cntr_nm,frstn_nm,lfdau_nm,damg_rgn_lot,damg_rgn_lat,hr_unit_vsdst,hr_unit_rn,hr_unit_artmp,hr_unit_hum,hr_unit_snwfl,hr_unit_wspd,hr_unit_wndrct,dclr_mn,dclr_tm,dclr_hr,dclr_yr,dclr_dow,dclr_mm,dclr_day,dclr_ymd,clmty_rscu_rptp_no,prcs_rslt_se_nm,dspt_mn,dspt_tm,dspt_hr,dspt_yr,dspt_mm,dspt_day,dspt_ymd,grnds_dstnc,grnds_arvl_mn,grnds_arvl_tm,grnds_arvl_hr,grnds_arvl_yr,grnds_arvl_mm,grnds_arvl_day,grnds_arvl_ymd,grnds_sgg_nm,grnds_ctpv_nm,_platelets_sample_downloaded_at,_platelets_source,_platelets_source_url
겨울,42,4200,0,2023,1,1,20230101,아파트,도시,51,5100,0,2023,1,1,20230101,1,공동주택,자살추정,기타 자살추정,사하 구조대,사하소방서,,128.977663,35.07254285,2998,,1.3,55,,2,160,30,3000,00,2023,일요일,1,1,20230101,20232605201R00002,안전조치,32,3200,0,2023,1,1,20230101,2,38,3800,0,2023,1,1,20230101,사하구,부산광역시,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=381
겨울,30,13000,1,2023,1,1,20230101,아파트,도시,44,14400,1,2023,1,1,20230101,1,공동주택,폭발,생활가스,연산119안전센터,동래소방서,,129.1108606,35.19622169,2998,,1.3,55,,2,160,43,4300,00,2023,일요일,1,1,20230101,20232603101R00001,기타안전조치,44,4400,0,2023,1,1,20230101,1.4,56,5600,0,2023,1,1,20230101,동래구,부산광역시,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=381
겨울,48,24800,2,2023,1,1,20230101,연립·다세대주택,도시,7,30700,3,2023,1,1,20230101,1,공동주택,자살추정,투신,가야119안전센터,부산진소방서,,129.0329862,35.15292089,2754,,0.8,57,,1,180,56,15600,01,2023,일요일,1,1,20230101,20232602104R00001,보호자 인계,56,15600,1,2023,1,1,20230101,0.7,3,20300,2,2023,1,1,20230101,부산진구,부산광역시,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=381
겨울,3,20300,2,2023,1,1,20230101,아파트,도시,7,30700,3,2023,1,1,20230101,1,공동주택,자살추정,투신,부산진 구조대,부산진소방서,,129.0329862,35.15292089,2754,,0.8,57,,1,180,56,15600,01,2023,일요일,1,1,20230101,20232602201R00001,구급대 인계,56,15600,1,2023,1,1,20230101,2.8,3,20300,2,2023,1,1,20230101,부산진구,부산광역시,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=381
겨울,,,,,,,,오피스텔,도시,27,22700,2,2023,1,1,20230101,1,공동주택,화재,기타화재,해운대 구조대,해운대소방서,,129.1211636,35.15516635,2754,,0.8,57,,1,180,59,15900,01,2023,일요일,1,1,20230101,20232606201R00003,타 기관처리,2,20200,2,2023,1,1,20230101,2.2,6,20600,2,2023,1,1,20230101,수영구,부산광역시,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=381
겨울,23,22300,2,2023,1,1,20230101,기타,도시,27,22700,2,2023,1,1,20230101,1,기타,화재,기타화재,남부 구조대,남부소방서,,129.1211636,35.15516635,2754,,0.8,57,,1,180,59,15900,01,2023,일요일,1,1,20230101,20232608201R00001,타기관 인계,2,20200,2,2023,1,1,20230101,3,6,20600,2,2023,1,1,20230101,수영구,부산광역시,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=381
겨울,26,42600,4,2023,1,1,20230101,목욕탕·사우나·찜질방,도시,43,44300,4,2023,1,1,20230101,1,근린생활시설,화재,화재확인,해운대 구조대,해운대소방서,,129.1756138,35.17228216,2927,,1,53,,2,250,42,34200,03,2023,일요일,1,1,20230101,20232606201R00004,인명검색,43,34300,3,2023,1,1,20230101,4.1,47,34700,3,2023,1,1,20230101,해운대구,부산광역시,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=381
겨울,35,43500,4,2023,1,1,20230101,기타,도시,43,44300,4,2023,1,1,20230101,1,기타,화재,건축·구조물,남부 구조대,남부소방서,,129.1756138,35.17228216,2927,,1,53,,2,250,42,34200,03,2023,일요일,1,1,20230101,20232608201R00002,타기관 인계,43,34300,3,2023,1,1,20230101,8.2,47,34700,3,2023,1,1,20230101,해운대구,부산광역시,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=381
겨울,1,50100,5,2023,1,1,20230101,기타 공동주택,도시,12,51200,5,2023,1,1,20230101,1,공동주택,화재,화재확인,동래 구조대,동래소방서,,129.1354058,35.20264271,2700,,1,53,,2,110,51,45100,04,2023,일요일,1,1,20230101,20232603201R00001,자체처리,53,45300,4,2023,1,1,20230101,4.7,1,50100,5,2023,1,1,20230101,해운대구,부산광역시,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=381
겨울,5,50500,5,2023,1,1,20230101,기타 공동주택,도시,10,51000,5,2023,1,1,20230101,1,공동주택,화재,기타화재,해운대 구조대,해운대소방서,,129.1354058,35.20264271,2700,,1,53,,2,110,51,45100,04,2023,일요일,1,1,20230101,20232606201R00002,자체처리,53,45300,4,2023,1,1,20230101,3.3,1,50100,5,2023,1,1,20230101,해운대구,부산광역시,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=381
