seasn_nm,jnt_crsp_yn,plcscn_cntr_nm,cmptnc_frstn_nm,emrg_rscu_scl_nm,emrg_rscu_clsf_nm,emrg_rscu_assrt_nm,cty_frmvl_se_nm,hsptl_arvl_dt,cbk_dt,qtr_no,acdnt_ocrn_lot,acdnt_ocrn_lat,sittn_end_dt,damg_rgn_lot,damg_rgn_lat,dclr_mn,dclr_tm,dclr_hr,dclr_yr,dclr_dow,dclr_mm,dclr_day,dclr_dt,dclr_ymd,dclr_rcpt_no,clmty_sgg_nm,clmty_ctpv_nm,clmty_emd_nm,rcpt_path_nm,rcpt_end_tm,rcpt_end_dt,rcpt_end_ymd,centr_rsun_dspt_dmnd_yn,prcs_rslt_se_nm,dspt_drtv_dt,cllbc_yn,otr_ctpv_dclr_yn,otr_ctpv_dspt_yn,grnds_arvl_dt,grnds_sgg_nm,grnds_ctpv_nm,chem_acdnt_yn,_platelets_sample_downloaded_at,_platelets_source,_platelets_source_url
겨울,,,전주덕진소방서,1차출동,질병,구급,,20230101003101,20230101000510,1,127.153,35.8358,20230101072703,127.1546033,35.83690659,2,218,00,2023,일요일,1,1,20230101000218,20230101,XO4510846324,전주시덕진구,전라북도,인후동1가,이동전화,322,20230101000322,20230101,,정상,20230101000322,,N,N,20230101000503,,전라북도,N,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=296
겨울,,,,,,,,,,1,,,,,,3,309,00,2023,일요일,1,1,20230101000309,20230101,XO4510846325,,,,의료지도연결,600,20230101000600,20230101,,안내,,,N,,,,전라북도,,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=296
겨울,,,전주덕진소방서,1차출동,질병,구급,도시,,20230101000753,1,127.125,35.8645,20230101002045,127.1250548,35.86350954,4,403,00,2023,일요일,1,1,20230101000403,20230101,XO4510846326,전주시덕진구,전라북도,송천동1가,이동전화,511,20230101000511,20230101,,정상,20230101000511,,N,N,,전주시덕진구,전라북도,N,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=296
겨울,,,,,,,도시,,,1,127.1236,35.814,,,,4,425,00,2023,일요일,1,1,20230101000425,20230101,XO4510846327,,,,이동전화,624,20230101000624,20230101,,안내,,,N,,,전주시완산구,전라북도,,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=296
겨울,,,,,,,도시,,,1,126.7167,35.9597,,,,5,551,00,2023,일요일,1,1,20230101000551,20230101,XO4510846328,,,,이동전화,623,20230101000623,20230101,,안내,,,N,,,군산시,전라북도,,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=296
겨울,,,,,,,,,,1,,,,,,6,622,00,2023,일요일,1,1,20230101000622,20230101,XO4510846329,,,,의료지도연결,709,20230101000709,20230101,,안내,,,N,,,,전라북도,,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=296
겨울,,,전주덕진소방서,1차출동,질병,구급,도시,,20230101000753,1,127.125,35.8645,20230101002045,127.1250548,35.86350954,6,627,00,2023,일요일,1,1,20230101000627,20230101,XO4510846330,전주시덕진구,전라북도,송천동1가,이동전화,720,20230101000720,20230101,,동일신고,20230101000511,,N,N,,전주시덕진구,전라북도,N,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=296
겨울,,,,,,,도시,,,1,127.1374,35.8793,,,,6,628,00,2023,일요일,1,1,20230101000628,20230101,XO4510846331,,,,이동전화,643,20230101000643,20230101,,안내,,,N,,,전주시덕진구,전라북도,,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=296
겨울,,,,,,,도시,,,1,126.9388,35.9422,,,,6,636,00,2023,일요일,1,1,20230101000636,20230101,XO4510846332,,,,이동전화,729,20230101000729,20230101,,안내,,,N,,,익산시,전라북도,,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=296
겨울,,,,,,,,,,1,,,,,,7,722,00,2023,일요일,1,1,20230101000722,20230101,XO4510846333,,,,의료지도연결,905,20230101000905,20230101,,안내,,,N,,,,전라북도,,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=296
