seasn_nm,plcscn_cntr_nm,cmptnc_frstn_nm,emrg_rscu_scl_nm,emrg_rscu_clsf_nm,emrg_rscu_assrt_nm,cty_frmvl_se_nm,qtr_no,acdnt_ocrn_xcrd,acdnt_ocrn_ycrd,damg_rgn_lot,damg_rgn_lat,dclr_mn,dclr_tm,dclr_hr,dclr_yr,dclr_dow,dclr_mm,dclr_day,dclr_dt,dclr_ymd,dclr_rcpt_no,clmty_sgg_nm,clmty_ctpv_nm,clmty_emd_nm,rcpt_path_nm,rcpt_end_tm,rcpt_end_dt,rcpt_end_ymd,centr_rsun_dspt_dmnd_yn,prcs_rslt_se_nm,otr_ctpv_dclr_yn,grnds_sgg_nm,grnds_ctpv_nm,_platelets_sample_downloaded_at,_platelets_source,_platelets_source_url
겨울,,,,,,도시,1,,,,,0,3,00,2023,일요일,1,1,20230101000003,20230101,XO1141392066,,,,의료지도연결,55,20230101000055,20230101,,안내,,,서울특별시,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=377
겨울,,,,,,도시,1,,,127.0643752,37.54147846,0,12,00,2023,일요일,1,1,20230101000012,20230101,XO1141392058,,,,이동전화,18,20230101000018,20230101,,통화전종료,,광진구,서울특별시,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=377
겨울,신트리119안전센터,양천소방서,1차출동,질병,구급,도시,1,126.8622,37.5154,126.859177,37.51310706,0,24,00,2023,일요일,1,1,20230101000024,20230101,XO1141392059,양천구,서울특별시,신정동,이동전화,139,20230101000139,20230101,,동일신고,,,서울특별시,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=377
겨울,,,,,,,1,,,,,12,1228,00,2023,일요일,1,1,20230101001228,20230101,XO1141392116,,,,일반전화,1645,20230101001645,20230101,,안내,Y,,,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=377
겨울,신영119안전센터,종로소방서,1차출동,지원출동(기타),기타,도시,1,126.9569,37.6083,126.9570495,37.61135014,55,5532,00,2023,월요일,1,2,20230102005532,20230102,XO1141398125,종로구,서울특별시,구기동,이동전화,5634,20230102005634,20230102,,동일신고,,,서울특별시,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=377
겨울,공덕119안전센터,마포소방서,1차출동,질병,구급,도시,1,126.96,37.5453,126.9590772,37.54586825,25,82509,08,2023,화요일,1,3,20230103082509,20230103,XO1141403723,마포구,서울특별시,신공덕동,이동전화,82613,20230103082613,20230103,,정상,,,서울특별시,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=377
겨울,,,,,,도시,1,127.0828,37.6033,,,0,230026,23,2023,금요일,1,6,20230106230026,20230106,XO1141420608,,,,이동전화,230121,20230106230121,20230106,,안내,,,서울특별시,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=377
겨울,역삼119안전센터,강남소방서,1차출동,질병,구급,도시,1,127.0362,37.4848,127.0360038,37.48506544,0,140014,14,2023,수요일,1,18,20230118140014,20230118,XO1141474481,강남구,서울특별시,도곡동,이동전화,140133,20230118140133,20230118,,정상,,,서울특별시,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=377
겨울,,,,,,도시,1,,,,,3,110341,11,2023,일요일,1,22,20230122110341,20230122,XO1141494113,,,,일반전화,110348,20230122110348,20230122,,통화전종료,,동작구,서울특별시,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=377
겨울,신영119안전센터,종로소방서,1차출동,질병,구급,도시,1,126.9571,37.5758,126.9574718,37.60190162,18,131838,13,2023,일요일,1,22,20230122131838,20230122,XO1141494826,종로구,서울특별시,홍지동,이동전화,131915,20230122131915,20230122,,동일신고,,,서울특별시,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=377
