bmno,bsno,road_nm,road_nm_addr,pipe_calbr_vl,hnum_nm,stts_se_nm,cntr_nm,frstn_nm,fruswtr_se_nm,wtrprsr_vl,emd_nm,nghb_bldg_dstnc,nghb_bldg_nm,sn,sgn_yn,grnds_sgg_nm,grnds_ctpv_nm,_platelets_sample_downloaded_at,_platelets_source,_platelets_source_url,latitude,longitude,_platelets_coordinate_note
104,0,세검정로6길,서울특별시 종로구 신영동,100,105-30,양호,신영119안전센터,종로소방서,소화전,3,신영동,1,신영동 105-30CU편의점,110000001,,종로구,서울특별시,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=380,37.602120,126.961240,approximate:서울특별시 종로구 신영동
50,0,자하문로42길,서울특별시 종로구 신영동,100,153-1,양호,신영119안전센터,종로소방서,소화전,2,신영동,5,삼성중앙빌라,110000002,,종로구,서울특별시,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=380,37.602400,126.961240,approximate:서울특별시 종로구 신영동
70,0,세검정로6길,서울특별시 종로구 신영동,100,150-1,양호,신영119안전센터,종로소방서,소화전,3,신영동,5,신영동 150-1자하주택,110000003,,종로구,서울특별시,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=380,37.602680,126.961240,approximate:서울특별시 종로구 신영동
33,0,세종대로21길,서울특별시 중구 정동,100,1-16,양호,회현119안전센터,중부소방서,소화전,2,정동,5,조선일보사,110000004,,중구,서울특별시,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=380,37.566860,126.972140,approximate:서울특별시 중구 정동
33,0,세종대로21길,서울특별시 중구 정동,100,1-16,고장(사용불),회현119안전센터,중부소방서,소화전,2,정동,,조선일보사,110000005,,중구,서울특별시,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=380,37.565740,126.972420,approximate:서울특별시 중구 정동
34,5,평창8길,서울특별시 종로구 평창동,0,260-22,양호,신영119안전센터,종로소방서,소화전,0,평창동,3,벹엘교회(비소34호),110000006,,종로구,서울특별시,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=380,37.606020,126.968220,approximate:서울특별시 종로구 평창동
8,0,통일로9길,서울특별시 서대문구 냉천동,100,18-1,양호,북아현119안전센터,서대문소방서,소화전,2,냉천동,1,미래공인중개사,110000007,,서대문구,서울특별시,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=380,37.567800,126.962920,approximate:서울특별시 서대문구 냉천동
90,0,북아현로22길,서울특별시 서대문구 북아현동,100,1-1819,양호,북아현119안전센터,서대문소방서,소화전,2,북아현동,1,한아름빌,110000008,,서대문구,서울특별시,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=380,37.559180,126.956120,approximate:서울특별시 서대문구 북아현동
57,0,북아현로14길,서울특별시 서대문구 북아현동,100,1-282,양호,북아현119안전센터,서대문소방서,소화전,2,북아현동,,서현교회,110000009,,서대문구,서울특별시,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=380,37.559460,126.956120,approximate:서울특별시 서대문구 북아현동
8,0,경기대로1길,서울특별시 서대문구 충정로3가,100,31-35,양호,북아현119안전센터,서대문소방서,소화전,2,충정로3가,3,일반가,110000010,,서대문구,서울특별시,2026-06-12T01:09:46.653Z,소방안전 빅데이터 플랫폼 샘플 데이터,https://bigdata-119.kr/goods/goodsInfo?goods_mng_sn=380,37.559640,126.963400,approximate:서울특별시 서대문구 충정로3가
